발생월,시도,시군구,사망자수,중상자수,경상자수,부상신고자수,cnt_minor,cnt_serious,cnt_fatal,total_cnt,ratio_0,ratio_1,ratio_2
1.0,충남,예산군,9,62,171,4,175,62,9,246,0.7113821138211383,0.25203252032520324,0.036585365853658534
1.0,충남,천안시,24,335,1446,134,1580,335,24,1939,0.814853017019082,0.17276946879834967,0.012377514182568335
1.0,충남,청양군,0,37,60,2,62,37,0,99,0.6262626262626263,0.37373737373737376,0.0
1.0,충남,태안군,3,47,91,6,97,47,3,147,0.6598639455782312,0.3197278911564626,0.02040816326530612
1.0,충남,홍성군,5,54,74,4,78,54,5,137,0.5693430656934306,0.39416058394160586,0.0364963503649635
1.0,충북,괴산군,5,36,63,3,66,36,5,107,0.616822429906542,0.3364485981308411,0.04672897196261682
1.0,충북,단양군,2,25,51,2,53,25,2,80,0.6625,0.3125,0.025
1.0,충북,보은군,4,19,41,0,41,19,4,64,0.640625,0.296875,0.0625
1.0,충북,영동군,2,27,32,1,33,27,2,62,0.532258064516129,0.43548387096774194,0.03225806451612903
1.0,충북,옥천군,2,31,55,1,56,31,2,89,0.6292134831460674,0.34831460674157305,0.02247191011235955
1.0,충북,음성군,10,109,307,9,316,109,10,435,0.7264367816091954,0.25057471264367814,0.022988505747126436
1.0,충북,제천시,4,100,358,13,371,100,4,475,0.7810526315789473,0.21052631578947367,0.008421052631578947
1.0,충북,증평군,4,25,67,3,70,25,4,99,0.7070707070707071,0.25252525252525254,0.04040404040404041
1.0,충북,진천군,4,67,213,6,219,67,4,290,0.7551724137931034,0.23103448275862068,0.013793103448275862
1.0,충북,청원군,4,36,52,1,53,36,4,93,0.5698924731182796,0.3870967741935484,0.043010752688172046
1.0,충북,청주시,19,516,2228,66,2294,516,19,2829,0.8108872393071757,0.1823966065747614,0.00671615411806292
1.0,충북,충주시,6,194,531,25,556,194,6,756,0.7354497354497355,0.2566137566137566,0.007936507936507936
2.0,강원,강릉시,8,97,375,0,375,97,8,480,0.78125,0.20208333333333334,0.016666666666666666
2.0,강원,고성군,2,25,29,6,35,25,2,62,0.5645161290322581,0.4032258064516129,0.03225806451612903
2.0,강원,동해시,5,46,145,2,147,46,5,198,0.7424242424242424,0.23232323232323232,0.025252525252525252
2.0,강원,삼척시,3,26,104,0,104,26,3,133,0.7819548872180451,0.19548872180451127,0.022556390977443608
2.0,강원,속초시,2,87,195,3,198,87,2,287,0.6898954703832753,0.30313588850174217,0.006968641114982578
2.0,강원,양구군,0,9,22,4,26,9,0,35,0.7428571428571429,0.2571428571428571,0.0
2.0,강원,양양군,5,26,46,3,49,26,5,80,0.6125,0.325,0.0625
2.0,강원,영월군,1,24,43,13,56,24,1,81,0.691358024691358,0.2962962962962963,0.012345679012345678
2.0,강원,원주시,7,164,808,32,840,164,7,1011,0.8308605341246291,0.16221562809099901,0.006923837784371909
2.0,강원,인제군,5,30,20,3,23,30,5,58,0.39655172413793105,0.5172413793103449,0.08620689655172414
2.0,강원,정선군,5,31,78,4,82,31,5,118,0.6949152542372882,0.2627118644067797,0.0423728813559322
2.0,강원,철원군,1,18,38,1,39,18,1,58,0.6724137931034483,0.3103448275862069,0.017241379310344827
2.0,강원,춘천시,8,126,629,123,752,126,8,886,0.8487584650112867,0.14221218961625282,0.009029345372460496
2.0,강원,태백시,0,22,80,6,86,22,0,108,0.7962962962962963,0.2037037037037037,0.0
2.0,강원,평창군,6,25,74,1,75,25,6,106,0.7075471698113207,0.2358490566037736,0.05660377358490566
2.0,강원,홍천군,1,33,156,4,160,33,1,194,0.8247422680412371,0.17010309278350516,0.005154639175257732
2.0,강원,화천군,2,17,38,10,48,17,2,67,0.7164179104477612,0.2537313432835821,0.029850746268656716
2.0,강원,횡성군,3,31,63,2,65,31,3,99,0.6565656565656566,0.31313131313131315,0.030303030303030304
2.0,경기,가평군,5,33,159,16,175,33,5,213,0.8215962441314554,0.15492957746478872,0.023474178403755867
2.0,경기,고양시,17,456,1713,140,1853,456,17,2326,0.79664660361135,0.19604471195184867,0.007308684436801376
2.0,경기,과천시,2,39,96,10,106,39,2,147,0.7210884353741497,0.2653061224489796,0.013605442176870748
2.0,경기,광명시,1,110,485,58,543,110,1,654,0.8302752293577982,0.16819571865443425,0.0015290519877675841
